新东方	托业成绩750分以上
LG 电子	托业证书持有者优先考虑
LG化学	托业证书持有者优先考虑
ORACLE	Toeic Score 600+ preferred;
TCL	有托业成绩优先考虑
埃森哲	有托业成绩者优先考虑 TOEIC preferred
爱立信	730分以上优先 850分免英文笔试
宝洁	 托业成绩达到岗位要求
福特汽车	有托业成绩者优先考虑
格兰仕	有托业成绩500分以上优先
海尔	有托业成绩优先考虑
海航集团	托业650分以上
华硕	托业成绩450分以上优先考虑
惠普	 托业成绩达到岗位要求
吉林联通英语	托业成绩不低于400分
佳能（中国）有限公司	有托业成绩者优先考虑
金山电子	有托业成绩500分以上优先考虑
京东方科技集团	TOEIC优先
康佳集团有	托业成绩者优先考虑
库柏（中国）投资有限公司	TOEIC test above 900 score or TOFEL(ibt) test above 100 score will be a plus.
拉法基	English level corresponding to TOEIC > 900.
理光	TOEIC Certificate holders highly preferred
罗克韦尔	Toeic 400 plus
摩托罗拉	TOEIC Certificate holders will be preferred in our selection process
南方航空	托业成绩达到岗位要求
南汽	托业400分以上优先考虑
诺基亚西门子	TOEIC is preferred.
浦项	托业证书持有者优先考虑
日本电装	TOEIC 500分
三井物产	托业成绩者730分以上
上海汽车集团股份有限公司乘用车公司	 托业成绩400分以上者优先考虑
沃尔沃集团	730分以上优先 850分免英文笔试
湘电集团	托业500分以上优先
雅培	托业成绩400分以上优先考虑
郑州日产	托业考试成绩400分以上者优先
中国外运集团	有托业成绩者优先考虑
中化集团	有托业成绩者优先考虑 
